Name.1,Confirmed,Per Million,Changes Today,Critical,Deceased,Per Million_1,Changes Today_2,Tests,Active,Recovered,Per Million_3,Population
Total,16607499,19103,"↑ 102,538 (0.62%)","34,581","375,033",431,"↑ 1,533 (0.41%)",295402824,9611385,6621079,7616,869366289
Albania,32761,11389,Unknown,13,699,243,Unknown,168449,16220,15842,5507,2876547
Andorra,6256,0,Unknown,20,76,0,Unknown,161318,822,5358,0,77314
Armenia,126709,42729,↑ 485 (0.38%),Unknown,"1,976",666,↑ 24 (1.23%),488393,29634,95099,32069,2965441
Austria,250333,27732,"↑ 3,145 (1.27%)",685,"2,459",272,↑ 71 (2.97%),2901857,72347,175527,19445,9026712
Azerbaijan,95281,9364,"↑ 2,187 (2.35%)",Unknown,"1,160",114,↑ 29 (2.56%),1617239,29646,64475,6336,10175183
Belarus,125482,13281,"↑ 1,483 (1.2%)",Unknown,"1,104",117,↑ 8 (0.73%),3091238,19680,104698,11081,9448087
Belgium,558779,48131,"↑ 1,875 (0.34%)","1,194","15,618","1,345",↑ 96 (0.62%),5687407,507212,35949,3096,11609588
Bosnia and Herzegovina,80553,24614,↑ 547 (0.68%),Unknown,"2,342",716,↑ 66 (2.9%),398160,32451,45760,13983,3272660
Bulgaria,121820,17585,Unknown,408,"2,880",416,Unknown,914723,82416,36524,5272,6927508
Croatia,105691,25809,"↑ 1,973 (1.9%)",235,"1,398",341,↑ 45 (3.33%),683104,19275,85018,20761,4095146
Cyprus,8643,7138,Unknown,15,44,36,Unknown,577615,6544,2055,1697,1210828
Czechia,492263,45933,Unknown,839,"7,196",671,Unknown,2920257,86966,398101,37147,10716864
Denmark,71654,12354,"↑ 1,169 (1.66%)",41,789,136,↑ 5 (0.64%),6894484,14833,56032,9660,5800283
Estonia,9956,7503,↑ 232 (2.39%),17,92,69,↑ 4 (4.55%),443316,4144,5720,4311,1326889
Finland,21936,3957,↑ 297 (1.37%),15,384,69,↑ 9 (2.4%),1818817,6252,15300,2760,5544136
France,2140829,32769,Unknown,"4,582","48,732",746,Unknown,19898736,1942576,149521,2289,65330803
Georgia,108690,27267,"↑ 3,958 (3.78%)",Unknown,"1,012",254,↑ 36 (3.69%),1106785,18508,89170,22370,3986118
Germany,935755,11155,"↑ 3,644 (0.39%)","3,709","14,367",171,↑ 24 (0.17%),26456866,302588,618800,7376,83890107
Greece,91619,8807,Unknown,540,"1,630",157,Unknown,2235923,66915,23074,2218,10402724
Hungary,177952,18440,"↑ 3,334 (1.91%)",627,"3,891",403,↑ 91 (2.39%),1518158,130722,43339,4491,9650577
Iceland,5289,0,↑ 12 (0.23%),2,26,0,Unknown,382793,198,5065,0,342118
Ireland,70461,14207,Unknown,33,"2,023",408,Unknown,1869645,45074,23364,4711,4959469
Italy,1408868,23315,Unknown,"3,801","49,823",825,Unknown,20388576,805947,553098,9153,60426437
Kazakhstan,126182,6689,↑ 716 (0.57%),221,"1,945",103,Unknown,4206738,11431,112806,5980,18864925
Latvia,13236,7049,↑ 116 (0.88%),24,162,86,↑ 9 (5.88%),578903,11439,1635,871,1877824
Liechtenstein,1156,0,↑ 44 (3.96%),13,12,0,↑ 4 (50%),9155,192,952,0,38171
Lithuania,48226,17815,"↑ 1,192 (2.53%)",117,392,145,↑ 6 (1.55%),1267700,36802,11032,4075,2706998
Luxembourg,30935,0,Unknown,45,266,0,Unknown,1296335,10655,20014,0,629960
Malta,9004,0,↑ 80 (0.9%),13,113,0,↑ 2 (1.8%),407317,2060,6831,0,442009
Moldova,97941,24302,Unknown,257,"2,149",533,Unknown,437844,16236,79556,19740,4030228
Monaco,582,0,Unknown,5,3,0,Unknown,51953,67,512,0,39352
Montenegro,31062,0,Unknown,61,439,0,Unknown,120131,11132,19491,0,628098
Netherlands,489818,28561,"↑ 5,170 (1.07%)",555,"8,945",522,↑ 54 (0.61%),3893908,0,0,0,17149911
North Macedonia,54743,26277,Unknown,138,"1,511",725,Unknown,312143,20866,32366,15536,2083340
Norway,32765,6025,Unknown,35,311,57,↑ 5 (1.63%),2164720,11498,20956,3854,5437963
Poland,876333,23165,"↑ 15,002 (1.74%)","2,149","13,774",364,↑ 156 (1.15%),5971590,423691,438868,11601,37830117
Portugal,260758,25603,Unknown,491,"3,897",383,Unknown,4067735,83942,172919,16978,10184858
Romania,422852,22039,"↑ 4,207 (1%)","1,160","10,177",530,↑ 130 (1.29%),3908681,115831,296844,15472,19186362
Russia,2114502,14487,"↑ 25,173 (1.2%)","2,300","36,540",250,↑ 361 (1%),72949596,466517,1611445,11040,145959326
San Marino,1428,0,↑ 33 (2.37%),7,44,0,↑ 1 (2.33%),15290,235,1149,0,33959
Serbia,126187,14465,"↑ 5,067 (4.18%)",216,"1,237",142,↑ 38 (3.17%),1638709,93414,31536,3615,8723328
Slovakia,96472,17667,↑ 231 (0.24%),218,693,127,↑ 22 (3.28%),1017802,47846,47933,8778,5460693
Slovenia,65778,31638,↑ 470 (0.72%),204,"1,097",528,↑ 45 (4.28%),479021,20123,44558,21432,2079052
Spain,1556730,33291,Unknown,"3,054","42,619",911,Unknown,20742051,1363735,150376,3216,46761974
Sweden,208295,20574,Unknown,182,"6,406",633,Unknown,2914088,0,0,0,10124145
Switzerland,300352,34604,"↑ 9,751 (3.36%)",526,"4,124",475,↑ 68 (1.68%),2572156,89528,206700,23814,8679601
Turkey,446822,5276,Unknown,"4,217","12,358",146,Unknown,17245617,59827,374637,4423,84695977
Ukraine,635689,14570,"↑ 10,945 (1.75%)",177,"11,075",254,↑ 124 (1.13%),4243600,333554,291060,6671,43628736
United Kingdom,1512045,22227,Unknown,"1,421","55,024",809,Unknown,40266183,0,0,0,68027042
Vatican City,27,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,15,0,802
